symbol,start_ts,level_price,side,label,body_volume_slope,price_return_kurtosis,volume_autocorrelation,poc_to_level_dist,squeeze_ratio,taker_ratio,wall_size_usd,wall_eaten_pct,book_depth_behind,book_imbalance,box_width_pct,duration_mins,episode_touches,volume_trend,level_touches,tick_speed_accel,trade_size_entropy,buy_sell_clustering
ENJUSDT,1773613800000,0.01865816,resistance,REJECTED,0.0008310234437719744,2.8626033640398236,0.05389904721098443,-0.009520428820983688,0.5714285714285927,0.40893248309781144,59522.2099,-0.600802020553252,131685.54871,-0.1312045326646661,0.00858,40.0,0,-0.00411,125,,,
ENJUSDT,1773622500000,0.01865816,resistance,REJECTED,-0.0036944869026284974,2.0565239100315535,0.01313251856479047,-0.008970366119477461,1.0,0.6504253490433877,56535.99568,-0.044724999596632564,121611.99423,-0.06180978127907089,0.00482,65.0,0,-0.035872,125,,,
ENJUSDT,1773629100000,0.01865816,support,REJECTED,-0.0004210701222555062,1.7587777014102741,0.12637989467662025,0.0075033065820446915,5.0,0.5350399263987935,48595.87818,0.07390757937776316,220994.61147,0.028463897088168596,0.0209,140.0,1,-0.006769,125,,,
ENJUSDT,1773640800000,0.01865816,support,REJECTED,0.0029349645139405502,2.2601692185504643,-0.005310231640878421,0.00867395284422472,1.500000000000029,0.4653204434950183,45699.45899,0.09526696653767852,217765.47317,-0.011997379159063154,0.01018,160.0,0,0.016224,125,,,
ENJUSDT,1773665100000,0.01865816,support,REJECTED,0.007417201592733506,0.3542865153016881,0.2138895610090597,0.008547015297723384,0.9999999999997687,0.44197557761387546,53335.5274,-0.08995149188760387,213504.29907,-0.23921171475439754,0.00697,70.0,0,0.070028,125,,,
ENJUSDT,1773671100000,0.01865816,support,REJECTED,-0.013480608132787017,3.9433831545200695,0.5982853829881107,0.004583743012511156,2.0,0.4234169594952459,50078.3992,0.10731506542540781,223135.82949,-0.30033587785494636,0.01393,105.0,1,-0.068622,125,,,
ENJUSDT,1773753300000,0.01978988,support,REJECTED,-0.01876171318172772,-0.2457997763354025,0.39936269477498576,0.010098941585561017,0.6333333333333534,0.44543325946639484,83039.01472,-0.07388799901564491,377803.88643,0.09890623732712973,0.02324,45.0,1,-0.081859,327,0.0,2.7381848075865367,0.8085158749692345
ENJUSDT,1773759600000,0.02067455,resistance,REJECTED,-0.0008789783478876411,3.6504706470927357,0.5737553337528243,0.021991314263951994,0.9032258064516061,0.5245498688999529,66141.49184,-0.113640334435958,274238.914,0.2537362912659038,0.04498,100.0,3,-0.001366,418,0.4,0.7275836984112838,0.8395956309147808
ENJUSDT,1773768000000,0.02067455,resistance,REJECTED,-0.018181247710019156,1.0288843905334573,0.15681490419273228,-0.015698044213779735,1.7142857142857462,0.4661127555501525,59757.10808,0.15220785283599336,226469.10348,0.14888604828077814,0.01258,40.0,0,-0.039729,418,0.0,2.308985545926398,0.7624309392265193
ENJUSDT,1773790200000,0.02067455,resistance,REJECTED,-0.017069529662786125,0.0017282975455774618,0.5370668818714882,-0.00216755179168285,1.2307692307692484,0.5400961305467749,52449.61348,0.13717104753551068,210166.42141,0.08480159776441216,0.02757,40.0,2,-0.184675,418,,,
ENJUSDT,1773797400000,0.02067455,support,REJECTED,0.001055194517393899,0.28092378444388366,0.3183508723157971,0.012546699609957754,0.8000000000000083,0.48801921925918995,86303.74753,-0.3229771053278194,349135.56157,0.24035870298742743,0.03047,130.0,6,-0.004962,418,0.2,1.7533623213425682,0.6934073168437882
ENJUSDT,1773833700000,0.02576692,resistance,FAKE,-0.014096462302462469,11.822847925184076,0.3281263380110803,-0.00988921985406497,0.5604395604395599,0.4923736901667943,98940.14349,0.08898461518481016,660048.21543,0.14221147723945313,0.06481,75.0,2,-0.108625,26,-0.6,0.8690009010515128,0.970358521515931
ENJUSDT,1773841200000,0.02376944,resistance,REJECTED,-0.010636026409386948,0.27535276650551443,0.35257751828818035,0.006954174860882977,0.5230769230769196,0.5124491259286342,153339.77705,0.08237190661931593,585357.62542,-0.04953303460875483,0.03576,80.0,6,-0.050844,72,-2.6,0.3978705357417028,0.8352292335873
ENJUSDT,1773849600000,0.02376944,support,BROKE,-0.048129295583548955,1.1077862653453194,0.7217411963453197,0.004584923020129091,0.3619047619047629,0.5312473654248512,120635.14587,0.3396698131096092,866234.33415,-0.11802354501201553,0.08162,45.0,1,-0.365224,72,,,
ENJUSDT,1773853800000,0.02376944,resistance,REJECTED,-0.0043034058900030935,1.6966543640943281,0.3020444476276548,0.001861390530290888,0.6499999999999978,0.5031723886453695,115763.23119,0.12360795166596983,626208.24094,0.11127486710354213,0.04291,95.0,3,-0.049632,72,1.4,1.898282855872172,0.8019521471678343
ENJUSDT,1773870300000,0.02266716,support,FAKE,0.017900245084362814,1.4752292308487887,-0.012873160771321342,-0.006619917838939896,1.0555555555555525,0.49090377191111356,158326.08578,-0.35414116800839457,759698.92595,0.017677042842292167,0.02073,35.0,2,0.084506,67,0.0,2.0119415634071567,0.7894102583414928
